Genus,Species,Analogue,SitePair,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C8,Reference,40.731159,A-CS-C8,50.075,959.924,42589.6,2.44897,40.0787725,,21.909,1397.8,,16.4,A-CS-C8
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C1,Reference,40.731159,P-CS-C1,49.362,653.561,36075.9,2.8736,41.0338963,11.6326530612245,18.103,1127.994,18.1831425,10.5,P-CS-C1
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C2,Reference,40.731159,P-CS-C2,51.09,758.133,34621.4,2.8736,32.7363243,12.3503401360544,16.740,1296.569,17.5984166,11.3,P-CS-C2
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C3,Reference,40.731159,P-CS-C3,53.859,808.505,35053.5,3.5898,44.24019,12.1700680272109,18.356,1281.44,19.5281041,10.5,P-CS-C3
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C4,Reference,40.731159,P-CS-C4,48.219,681.454,33616.6,3.2145,32.19643,,22.164,1333.62,17.6462947,9.7,P-CS-C4
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C5,Reference,40.731159,P-CS-C5,48.263,739.68,35797.4,3.2146,35.93465,,17.722,1174.609,15.9465536,10.8,P-CS-C5
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C6,Reference,40.731159,P-CS-C6,53.361,721.997,36445.8,3.0459,42.15687,,17.673,1216.185,17.4863227,11.4,P-CS-C6
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C7,Reference,40.731159,P-CS-C7,48.045,613.766,37613.5,2.71782,32.1114522,,19.4042,1150.8,,10.3,P-CS-C7
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C8,Reference,40.731159,P-CS-C8,52.699,627.881333,38947.3,2.44874,30.6199195,,18.1756,1186.4,,10.6,P-CS-C8
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V1,Extreme,40.731159,A-CS-V1,39.239,837.012,37236.8,2.5984,47.982752,13.4625850340136,20.100,1356.137,36.9357985,11.7,A-CS-V1
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V2,Extreme,40.731159,A-CS-V2,47.249,710.556,37081,2.8741,43.06299,11.1326530612245,25.508,1468.024,40.5383179,14.5,A-CS-V2
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V3,Extreme,40.731159,A-CS-V3,47.161,762.072,38220,2.8741,50.32005,9.63265306,19.367,1303.844,34.650242,15.6,A-CS-V3
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V4,Extreme,40.731159,A-CS-V4,51.099,1064.216,33695.5,3.2156,47.58994,11.2925170068027,21.4986,1416.783,41.1584082,16.9,A-CS-V4
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V5,Extreme,40.731159,A-CS-V5,38.613,672.264667,41205.9,2.1584,50.438788,10.5952381,19.394,1291.952,28.8525536,13.7,A-CS-V5
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V6,Extreme,40.731159,A-CS-V6,37.678,724.097,39095.2,2.4143,42.4653184,10.962585,20.407,1434.857,38.3229651,13.4,A-CS-V6
