Genus,Species,Analogue,Site,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V5,Extreme,40.73187,A-CN-V5,50.329,860.529,37640.5,2.5773,40.0455829,10.8061224,20.179,1.423,1422.6,,14.2,A-CN-V5
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V6,Extreme,40.73187,A-CN-V6,44.564,813.561,38582,2.5774,37.07725,10.5646259,17.908,1.37,1370.274,35.7683653,14.6,A-CN-V6
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V7,Extreme,40.73187,A-CN-V7,45.856,810.738,36788.4,2.4760,45.45286,11.5782313,20.479,1.493,1492.605,34.4060151,15.9,A-CN-V7
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V8,Extreme,40.73187,A-CN-V8,40.252,900.852667,37265.3,2.229,54.3249931,,21.4426,1.323,1323,,13.2,A-CN-V8
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V1,Extreme,40.73187,P-CN-V1,60.089,698.884,38919.1,3.2147,44.96981,11.0510204081633,14.833,1.199,1198.63,17.8486015,13,P-CN-V1
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V2,Extreme,40.73187,P-CN-V2,59.895,805.352,36606.3,2.39142,51.7589625,,13.128,1.15,1150,,13.6,P-CN-V2
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V3,Extreme,40.73187,P-CN-V3,56.819,644.305,35814.3,3.0011,40.2717102,11.1496599,13.7246,1.2,1200.392,18.476277,12.7,P-CN-V3
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V4,Extreme,40.73187,P-CN-V4,54.37,697.382,38856,2.6726,41.0330136,12.9285714,13.597,1.201,1200.569,22.6385214,11.7,P-CN-V4
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V5,Extreme,40.73187,P-CN-V5,54.141,666.323,39192,3.2148,42.23146,11.4829931972789,14.791,1.113,1113.46,19.8725442,11.4,P-CN-V5
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V6,Extreme,40.73187,P-CN-V6,41.062,474.051,27261,2.8738,43.795784,12.6054421768707,13.4032,1.109,1109.216,18.4289371,10.4,P-CN-V6
